domain,is_file_found,is_file_valid,http_status,acknowledgments,canonical,contact,encryption,expires,hiring,policy,preferred_languages,errors
cbcm.commerzbank.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://cbcm.commerzbank.com/.well-known/security.txt"": dial tcp: lookup cbcm.commerzbank.com on 1.1.1.1:53: no such host"
selftrade.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://selftrade.co.uk/.well-known/security.txt"": dial tcp: lookup selftrade.co.uk on [2a01:4b00:88f6:bc30:f2ad:4eff:fe1b:eb4d]:53: server misbehaving"
livework.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://livework.co.uk/.well-known/security.txt"": dial tcp: lookup livework.co.uk on [2a01:4b00:88f6:bc30:f2ad:4eff:fe1b:eb4d]:53: server misbehaving"
schmidt-research.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://schmidt-research.com/.well-known/security.txt"": remote error: tls: handshake failure"
corbettkeeling.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://corbettkeeling.com/.well-known/security.txt"": dial tcp: lookup corbettkeeling.com on 1.1.1.1:53: no such host"
batleycapital.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://batleycapital.com/.well-known/security.txt"": EOF"
cleardebtgroup.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://cleardebtgroup.co.uk/.well-known/security.txt"": dial tcp: lookup cleardebtgroup.co.uk on [2a01:4b00:88f6:bc30:f2ad:4eff:fe1b:eb4d]:53: server misbehaving"
contango.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://contango.co.uk/.well-known/security.txt"": tls: server selected unsupported protocol version 301"
chandb.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://chandb.com/.well-known/security.txt"": remote error: tls: handshake failure"
sabrecorp.net,false,false,0,,,,,,,,,"HTTP response error: Get ""https://sabrecorp.net/.well-known/security.txt"": EOF"
efg-ifa.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://efg-ifa.com/.well-known/security.txt"": dial tcp: lookup efg-ifa.com on 1.1.1.1:53: no such host"
ca-global.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://ca-global.com/.well-known/security.txt"": remote error: tls: handshake failure"
danielstewart.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://danielstewart.co.uk/.well-known/security.txt"": x509: certificate is valid for *.parkingcrew.net, parkingcrew.net, not danielstewart.co.uk"
boioffshore.bankofireland.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://boioffshore.bankofireland.com/.well-known/security.txt"": x509: certificate is valid for www.bankofireland.com, businessbanking.bankofireland.com, personalbanking.bankofireland.com, corporate.bankofireland.com, investorrelations.bankofireland.com, boi.ie, boi.com, www.boi.com, www.boi.ie, privatebanking.bankofireland.com, bankofireland.com, not boioffshore.bankofireland.com"
origin.eu.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://origin.eu.com/.well-known/security.txt"": x509: certificate is valid for eu.com, www.eu.com, not origin.eu.com"
executivesonline.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://executivesonline.co.uk/.well-known/security.txt"": x509: certificate is valid for www.eoexecutives.com, eoexecutives.com, not executivesonline.co.uk"
dswcf.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://dswcf.com/.well-known/security.txt"": EOF"
aviateglobal.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://aviateglobal.com/.well-known/security.txt"": dial tcp: lookup aviateglobal.com on [2a01:4b00:88f6:bc30:f2ad:4eff:fe1b:eb4d]:53: server misbehaving"
naturalselection.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://naturalselection.co.uk/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T13:03:38+01:00 is after 2021-11-11T16:28:07Z"
cityfin.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://cityfin.co.uk/.well-known/security.txt"": dial tcp: lookup cityfin.co.uk on 1.1.1.1:53: no such host"
lichfields.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://lichfields.co.uk/.well-known/security.txt"": x509: certificate is valid for *.azurewebsites.net, *.scm.azurewebsites.net, *.azure-mobile.net, *.scm.azure-mobile.net, *.sso.azurewebsites.net, not lichfields.co.uk"
catalystcf.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://catalystcf.co.uk/.well-known/security.txt"": dial tcp: lookup catalystcf.co.uk on [2a01:4b00:88f6:bc30:f2ad:4eff:fe1b:eb4d]:53: server misbehaving"
dtzcorporatefinance.co.uk,false,false,0,,,,,,,,,"HTTP response error: Get ""https://dtzcorporatefinance.co.uk/.well-known/security.txt"": dial tcp: lookup dtzcorporatefinance.co.uk on 1.1.1.1:53: no such host"
mavenpartners.co.uk,false,false,404,,,,,,,,,https://mavenpartners.co.uk/security.txt file may not exist - HTTP error code: 404
emwph.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://emwph.com/.well-known/security.txt"": dial tcp: lookup emwph.com on 1.1.1.1:53: no such host"
elix-irr.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://elix-irr.com/.well-known/security.txt"": x509: certificate has expired or is not yet valid: current time 2022-08-08T13:03:40+01:00 is after 2017-07-27T23:59:59Z"
nowrecruitment.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://nowrecruitment.com/.well-known/security.txt"": dial tcp 94.136.40.82:443: connect: connection refused"
edge.uk.com,false,false,0,,,,,,,,,"HTTP response error: Get ""https://edge.uk.com/.well-known/security.txt"": x509: certificate is valid for *.dnsmadeeasy.com, dnsmadeeasy.com, not edge.uk.com"
hillierhopkins.co.uk,false,false,404,,,,,,,,,https://hillierhopkins.co.uk/security.txt file may not exist - HTTP error code: 404
enbconsulting.com,false,false,410,,,,,,,,,https://enbconsulting.com/.well-known/security.txt file may not exist - HTTP error code: 410
systech-int.com,false,false,200,,,,,,,,,Content-type (text/html; charset=utf-8) is not valid
